Team,Level,Source,Target,Rule,Notes
Dark,Rail Canyon,Start,ObjSanity,,
Dark,Rail Canyon,ObjSanity,Start,,
Dark,Rail Canyon,Start,Bonus Key 1,,
Dark,Rail Canyon,Bonus Key 1,Start,,
Dark,Rail Canyon,Start,Bonus Key 2,,
Dark,Rail Canyon,Bonus Key 2,Start,,
Dark,Rail Canyon,Start,Bonus Key 3,,
Dark,Rail Canyon,Bonus Key 3,Start,,
Dark,Rail Canyon,Start,Checkpoint 1,,
Dark,Rail Canyon,Checkpoint 1,Start,,
Dark,Rail Canyon,Start,Checkpoint 2,,
Dark,Rail Canyon,Checkpoint 2,Start,,
Dark,Rail Canyon,Start,Checkpoint 3,,
Dark,Rail Canyon,Checkpoint 3,Start,,
Dark,Rail Canyon,Start,Checkpoint 4,,
Dark,Rail Canyon,Checkpoint 4,Start,,
Dark,Rail Canyon,Start,Checkpoint 5,,
Dark,Rail Canyon,Checkpoint 5,Start,,
Dark,Rail Canyon,Start,Checkpoint 6,,
Dark,Rail Canyon,Checkpoint 6,Start,,
Dark,Rail Canyon,Start,Goal,,
