Team,Level,Source,Target,Rule,Notes
Rose,Rail Canyon,Start,ObjSanity,,
Rose,Rail Canyon,ObjSanity,Start,,
Rose,Rail Canyon,Start,Bonus Key 1,,
Rose,Rail Canyon,Bonus Key 1,Start,,
Rose,Rail Canyon,Start,Bonus Key 2,,
Rose,Rail Canyon,Bonus Key 2,Start,,
Rose,Rail Canyon,Start,Bonus Key 3,,
Rose,Rail Canyon,Bonus Key 3,Start,,
Rose,Rail Canyon,Start,Checkpoint 1,,
Rose,Rail Canyon,Checkpoint 1,Start,,
Rose,Rail Canyon,Start,Checkpoint 2,,
Rose,Rail Canyon,Checkpoint 2,Start,,
Rose,Rail Canyon,Start,Checkpoint 3,,
Rose,Rail Canyon,Checkpoint 3,Start,,
Rose,Rail Canyon,Start,Checkpoint 4,,
Rose,Rail Canyon,Checkpoint 4,Start,,
Rose,Rail Canyon,Start,Goal,,
