Team,Level,Source,Target,Rule,Notes
Sonic,Rail Canyon,Start,Start Rail,RailSonicRC,
Sonic,Rail Canyon,Start Rail,First Ground Lower,,
Sonic,Rail Canyon,First Ground Lower,First Ground Upper,FlyingAnyorSingleSpringSonicRC,
Sonic,Rail Canyon,First Ground Upper,Checkpoint 1,,
Sonic,Rail Canyon,Checkpoint 1,First Ground Upper,,
Sonic,Rail Canyon,First Ground Upper,Ground With Bonus Key 1,FlyingAnyorSwitchableRailSonicRC,
Sonic,Rail Canyon,Ground With Bonus Key 1,First Ground Upper,FlyingAnyorSwitchableRailSonicRC,
Sonic,Rail Canyon,Ground With Bonus Key 1,Bonus Key 1,,
Sonic,Rail Canyon,Ground With Bonus Key 1,Ground With Bonus Key 1 Top,(BarrelandFlyingAny)orPulleySonicRC,
Sonic,Rail Canyon,Ground With Bonus Key 1 Top,Ground With Bonus Key 1,,
Sonic,Rail Canyon,Ground With Bonus Key 1 Top,Platform with 3 Rails and Rail Switch,3RailPlatformSonicRC,
Sonic,Rail Canyon,Platform with 3 Rails and Rail Switch,Ground With Bonus Key 1 Top,3RailPlatformSonicRC,
Sonic,Rail Canyon,Ground With Bonus Key 1,Platform with 3 Rails and Rail Switch,FlyingAnyand3RailPlatformSonicRC,
Sonic,Rail Canyon,Platform with 3 Rails and Rail Switch,First Rail Switch,RailSwitchSonicRC,
Sonic,Rail Canyon,Ground With Bonus Key 1,First Rail Switch,FlyingAnyandRailSwitchSonicRC,
Sonic,Rail Canyon,First Rail Switch,Ground After Rail Switch,RailSwitchandSwitchableRailSonicRC,
Sonic,Rail Canyon,Ground With Bonus Key 1,Ground After Rail Switch,FlyingAnySonicRC,
Sonic,Rail Canyon,Ground After Rail Switch,Ground With Bonus Key 1,FlyingAnySonicRC,
Sonic,Rail Canyon,Ground After Rail Switch,Top Revolver With Eggman Horn Statue After First Rail Switch,FlyingAnySonicRC,
Sonic,Rail Canyon,Top Revolver With Eggman Horn Statue After First Rail Switch,Second Rail Section,RailandSingleSpringSonicRC,
Sonic,Rail Canyon,Ground After Rail Switch,Second Switchable Rail,RailandRailSwitchandSwitchableRailSonicRC,
Sonic,Rail Canyon,Second Switchable Rail,Second Rail Section,RailandSingleSpringSonicRC,
Sonic,Rail Canyon,Second Rail Section,Ground with Checkpoint 2 Start,RailSonicRC,
Sonic,Rail Canyon,Ground with Checkpoint 2 Start,Ground with Checkpoint 2 End,TripleSpringSonicRC,
Sonic,Rail Canyon,Ground with Checkpoint 2 Start,Ground Above Checkpoint 2,FlyingAnyandTripleSpringSonicRC,
