Team,Level,Source,Target,Rule,Notes
Chaotix,Seaside Hill,Start,ObjSanity,,
Chaotix,Seaside Hill,ObjSanity,Start,,
Chaotix,Seaside Hill,Start,Bonus Key 1,,
Chaotix,Seaside Hill,Bonus Key 1,Start,,
Chaotix,Seaside Hill,Start,Bonus Key 2,,
Chaotix,Seaside Hill,Bonus Key 2,Start,,
Chaotix,Seaside Hill,Start,Bonus Key 3,,
Chaotix,Seaside Hill,Bonus Key 3,Start,,
Chaotix,Seaside Hill,Start,Checkpoint 1,,
Chaotix,Seaside Hill,Checkpoint 1,Start,,
Chaotix,Seaside Hill,Start,Checkpoint 2,,
Chaotix,Seaside Hill,Checkpoint 2,Start,,
Chaotix,Seaside Hill,Start,Checkpoint 3,,
Chaotix,Seaside Hill,Checkpoint 3,Start,,
Chaotix,Seaside Hill,Start,Checkpoint 4,,
Chaotix,Seaside Hill,Checkpoint 4,Start,,
Chaotix,Seaside Hill,Start,Goal,,
