Team,Level,Source,Target,Rule,Notes
Dark,Seaside Hill,Start,ObjSanity,,
Dark,Seaside Hill,ObjSanity,Start,,
Dark,Seaside Hill,Start,Bonus Key 1,,
Dark,Seaside Hill,Bonus Key 1,Start,,
Dark,Seaside Hill,Start,Bonus Key 2,,
Dark,Seaside Hill,Bonus Key 2,Start,,
Dark,Seaside Hill,Start,Bonus Key 3,,
Dark,Seaside Hill,Bonus Key 3,Start,,
Dark,Seaside Hill,Start,Checkpoint 1,,
Dark,Seaside Hill,Checkpoint 1,Start,,
Dark,Seaside Hill,Start,Checkpoint 2,,
Dark,Seaside Hill,Checkpoint 2,Start,,
Dark,Seaside Hill,Start,Checkpoint 3,,
Dark,Seaside Hill,Checkpoint 3,Start,,
Dark,Seaside Hill,Start,Checkpoint 4,,
Dark,Seaside Hill,Checkpoint 4,Start,,
Dark,Seaside Hill,Start,Goal,,
