Team,Level,Name,Code,Act,Region,Rule,Location Type,Hint Info,Notes
Sonic,Seaside Hill,Seaside Hill Sonic Act 1,0x939300a0,1,Seaside Hill Sonic Goal,,Level,,
Sonic,Seaside Hill,Seaside Hill Sonic Act 2,0x939300a1,2,Seaside Hill Sonic Goal,,Level,,
Sonic,Ocean Palace,Ocean Palace Sonic Act 1,0x939300a2,1,Ocean Palace Sonic Goal,,Level,,
Sonic,Ocean Palace,Ocean Palace Sonic Act 2,0x939300a3,2,Ocean Palace Sonic Goal,,Level,,
Sonic,Grand Metropolis,Grand Metropolis Sonic Act 1,0x939300a4,1,Grand Metropolis Sonic Goal,,Level,,
Sonic,Grand Metropolis,Grand Metropolis Sonic Act 2,0x939300a5,2,Grand Metropolis Sonic Goal,,Level,,
Sonic,Power Plant,Power Plant Sonic Act 1,0x939300a6,1,Power Plant Sonic Goal,,Level,,
Sonic,Power Plant,Power Plant Sonic Act 2,0x939300a7,2,Power Plant Sonic Goal,,Level,,
Sonic,Casino Park,Casino Park Sonic Act 1,0x939300a8,1,Casino Park Sonic Goal,,Level,,
Sonic,Casino Park,Casino Park Sonic Act 2,0x939300a9,2,Casino Park Sonic Goal,,Level,,
Sonic,Bingo Highway,Bingo Highway Sonic Act 1,0x939300aa,1,Bingo Highway Sonic Goal,,Level,,
Sonic,Bingo Highway,Bingo Highway Sonic Act 2,0x939300ab,2,Bingo Highway Sonic Goal,,Level,,
Sonic,Rail Canyon,Rail Canyon Sonic Act 1,0x939300ac,1,Rail Canyon Sonic Goal,,Level,,
Sonic,Rail Canyon,Rail Canyon Sonic Act 2,0x939300ad,2,Rail Canyon Sonic Goal,,Level,,
Sonic,Bullet Station,Bullet Station Sonic Act 1,0x939300ae,1,Bullet Station Sonic Goal,,Level,,
Sonic,Bullet Station,Bullet Station Sonic Act 2,0x939300af,2,Bullet Station Sonic Goal,,Level,,
Sonic,Frog Forest,Frog Forest Sonic Act 1,0x939300b0,1,Frog Forest Sonic Goal,,Level,,
Sonic,Frog Forest,Frog Forest Sonic Act 2,0x939300b1,2,Frog Forest Sonic Goal,,Level,,
Sonic,Lost Jungle,Lost Jungle Sonic Act 1,0x939300b2,1,Lost Jungle Sonic Goal,,Level,,
Sonic,Lost Jungle,Lost Jungle Sonic Act 2,0x939300b3,2,Lost Jungle Sonic Goal,,Level,,
Sonic,Hang Castle,Hang Castle Sonic Act 1,0x939300b4,1,Hang Castle Sonic Goal,,Level,,
Sonic,Hang Castle,Hang Castle Sonic Act 2,0x939300b5,2,Hang Castle Sonic Goal,,Level,,
Sonic,Mystic Mansion,Mystic Mansion Sonic Act 1,0x939300b6,1,Mystic Mansion Sonic Goal,,Level,,
Sonic,Mystic Mansion,Mystic Mansion Sonic Act 2,0x939300b7,2,Mystic Mansion Sonic Goal,,Level,,
Sonic,Egg Fleet,Egg Fleet Sonic Act 1,0x939300b8,1,Egg Fleet Sonic Goal,,Level,,
Sonic,Egg Fleet,Egg Fleet Sonic Act 2,0x939300b9,2,Egg Fleet Sonic Goal,,Level,,
Sonic,Final Fortress,Final Fortress Sonic Act 1,0x939300ba,1,Final Fortress Sonic Goal,,Level,,
Sonic,Final Fortress,Final Fortress Sonic Act 2,0x939300bb,2,Final Fortress Sonic Goal,,Level,,
Sonic,Egg Hawk,Egg Hawk Sonic,0x939300bc,0,Egg Hawk,,Boss,,
Sonic,Team Fight 1,Team Fight 1 Sonic,0x939300be,0,Team Fight 1,,Boss,,
Sonic,Robot Carnival,Robot Carnival Sonic,0x939300c0,0,Robot Carnival,,Boss,,
Sonic,Egg Albatross,Egg Albatross Sonic,0x939300c2,0,Egg Albatross,,Boss,,
Sonic,Team Fight 2,Team Fight 2 Sonic,0x939300c4,0,Team Fight 2,,Boss,,
Sonic,Robot Storm,Robot Storm Sonic,0x939300c6,0,Robot Storm,,Boss,,
Sonic,Egg Emperor,Egg Emperor Sonic,0x939300c8,0,Egg Emperor,,Boss,,
Dark,Seaside Hill,Seaside Hill Dark Act 1,0x939300ca,1,Seaside Hill Dark Goal,,Level,,
Dark,Seaside Hill,Seaside Hill Dark Act 2,0x939300cb,2,Seaside Hill Dark Goal,,Level,,
Dark,Ocean Palace,Ocean Palace Dark Act 1,0x939300cc,1,Ocean Palace Dark Goal,,Level,,
Dark,Ocean Palace,Ocean Palace Dark Act 2,0x939300cd,2,Ocean Palace Dark Goal,,Level,,
Dark,Grand Metropolis,Grand Metropolis Dark Act 1,0x939300ce,1,Grand Metropolis Dark Goal,,Level,,
Dark,Grand Metropolis,Grand Metropolis Dark Act 2,0x939300cf,2,Grand Metropolis Dark Goal,,Level,,
Dark,Power Plant,Power Plant Dark Act 1,0x939300d0,1,Power Plant Dark Goal,,Level,,
Dark,Power Plant,Power Plant Dark Act 2,0x939300d1,2,Power Plant Dark Goal,,Level,,
Dark,Casino Park,Casino Park Dark Act 1,0x939300d2,1,Casino Park Dark Goal,,Level,,
Dark,Casino Park,Casino Park Dark Act 2,0x939300d3,2,Casino Park Dark Goal,,Level,,
Dark,Bingo Highway,Bingo Highway Dark Act 1,0x939300d4,1,Bingo Highway Dark Goal,,Level,,
Dark,Bingo Highway,Bingo Highway Dark Act 2,0x939300d5,2,Bingo Highway Dark Goal,,Level,,
Dark,Rail Canyon,Rail Canyon Dark Act 1,0x939300d6,1,Rail Canyon Dark Goal,,Level,,
Dark,Rail Canyon,Rail Canyon Dark Act 2,0x939300d7,2,Rail Canyon Dark Goal,,Level,,
Dark,Bullet Station,Bullet Station Dark Act 1,0x939300d8,1,Bullet Station Dark Goal,,Level,,
Dark,Bullet Station,Bullet Station Dark Act 2,0x939300d9,2,Bullet Station Dark Goal,,Level,,
Dark,Frog Forest,Frog Forest Dark Act 1,0x939300da,1,Frog Forest Dark Goal,,Level,,
Dark,Frog Forest,Frog Forest Dark Act 2,0x939300db,2,Frog Forest Dark Goal,,Level,,
Dark,Lost Jungle,Lost Jungle Dark Act 1,0x939300dc,1,Lost Jungle Dark Goal,,Level,,
Dark,Lost Jungle,Lost Jungle Dark Act 2,0x939300dd,2,Lost Jungle Dark Goal,,Level,,
Dark,Hang Castle,Hang Castle Dark Act 1,0x939300de,1,Hang Castle Dark Goal,,Level,,
Dark,Hang Castle,Hang Castle Dark Act 2,0x939300df,2,Hang Castle Dark Goal,,Level,,
Dark,Mystic Mansion,Mystic Mansion Dark Act 1,0x939300e0,1,Mystic Mansion Dark Goal,,Level,,
Dark,Mystic Mansion,Mystic Mansion Dark Act 2,0x939300e1,2,Mystic Mansion Dark Goal,,Level,,
Dark,Egg Fleet,Egg Fleet Dark Act 1,0x939300e2,1,Egg Fleet Dark Goal,,Level,,
Dark,Egg Fleet,Egg Fleet Dark Act 2,0x939300e3,2,Egg Fleet Dark Goal,,Level,,
Dark,Final Fortress,Final Fortress Dark Act 1,0x939300e4,1,Final Fortress Dark Goal,,Level,,
Dark,Final Fortress,Final Fortress Dark Act 2,0x939300e5,2,Final Fortress Dark Goal,,Level,,
Dark,Egg Hawk,Egg Hawk Dark,0x939300e6,0,Egg Hawk,,Boss,,
Dark,Team Fight 1,Team Fight 1 Dark,0x939300e8,0,Team Fight 1,,Boss,,
Dark,Robot Carnival,Robot Carnival Dark,0x939300ea,0,Robot Carnival,,Boss,,
Dark,Egg Albatross,Egg Albatross Dark,0x939300ec,0,Egg Albatross,,Boss,,
Dark,Team Fight 2,Team Fight 2 Dark,0x939300ee,0,Team Fight 2,,Boss,,
Dark,Robot Storm,Robot Storm Dark,0x939300f0,0,Robot Storm,,Boss,,
Dark,Egg Emperor,Egg Emperor Dark,0x939300f2,0,Egg Emperor,,Boss,,
Rose,Seaside Hill,Seaside Hill Rose Act 1,0x939300f4,1,Seaside Hill Rose Goal,,Level,,
Rose,Seaside Hill,Seaside Hill Rose Act 2,0x939300f5,2,Seaside Hill Rose Goal,,Level,,
Rose,Ocean Palace,Ocean Palace Rose Act 1,0x939300f6,1,Ocean Palace Rose Goal,,Level,,
Rose,Ocean Palace,Ocean Palace Rose Act 2,0x939300f7,2,Ocean Palace Rose Goal,,Level,,
Rose,Grand Metropolis,Grand Metropolis Rose Act 1,0x939300f8,1,Grand Metropolis Rose Goal,,Level,,
Rose,Grand Metropolis,Grand Metropolis Rose Act 2,0x939300f9,2,Grand Metropolis Rose Goal,,Level,,
Rose,Power Plant,Power Plant Rose Act 1,0x939300fa,1,Power Plant Rose Goal,,Level,,
Rose,Power Plant,Power Plant Rose Act 2,0x939300fb,2,Power Plant Rose Goal,,Level,,
Rose,Casino Park,Casino Park Rose Act 1,0x939300fc,1,Casino Park Rose Goal,,Level,,
Rose,Casino Park,Casino Park Rose Act 2,0x939300fd,2,Casino Park Rose Goal,,Level,,
Rose,Bingo Highway,Bingo Highway Rose Act 1,0x939300fe,1,Bingo Highway Rose Goal,,Level,,
Rose,Bingo Highway,Bingo Highway Rose Act 2,0x939300ff,2,Bingo Highway Rose Goal,,Level,,
Rose,Rail Canyon,Rail Canyon Rose Act 1,0x93930100,1,Rail Canyon Rose Goal,,Level,,
Rose,Rail Canyon,Rail Canyon Rose Act 2,0x93930101,2,Rail Canyon Rose Goal,,Level,,
Rose,Bullet Station,Bullet Station Rose Act 1,0x93930102,1,Bullet Station Rose Goal,,Level,,
Rose,Bullet Station,Bullet Station Rose Act 2,0x93930103,2,Bullet Station Rose Goal,,Level,,
Rose,Frog Forest,Frog Forest Rose Act 1,0x93930104,1,Frog Forest Rose Goal,,Level,,
Rose,Frog Forest,Frog Forest Rose Act 2,0x93930105,2,Frog Forest Rose Goal,,Level,,
