Team,Level,Name,ObjChecks
Sonic,Bingo Highway,Start,0
Sonic,Bingo Highway,First Pinball,0
Sonic,Bingo Highway,Optional Second Pinball,0
Sonic,Bingo Highway,First Red Carpet,0
Sonic,Bingo Highway,First Door,0
Sonic,Bingo Highway,First Fan Hallway,0
Sonic,Bingo Highway,First Glass Floor,0
Sonic,Bingo Highway,Bonus Key 1,0
Sonic,Bingo Highway,Ball Slide with Spring,0
Sonic,Bingo Highway,Roulette Floor with Floating Dice,0
Sonic,Bingo Highway,Roulette Floor with Floating Dice Case,0
Sonic,Bingo Highway,Floating Dice Before Checkpoint 1,0
Sonic,Bingo Highway,Checkpoint 1,0
Sonic,Bingo Highway,Optional Third Pinball,0
Sonic,Bingo Highway,Platform Below Checkpoint 2,0
Sonic,Bingo Highway,Floating Dice Below Checkpoint 2,0
Sonic,Bingo Highway,Checkpoint 2,0
Sonic,Bingo Highway,First Bingo Pinball,0
Sonic,Bingo Highway,Red Carpet with Sideways Roulette,0
Sonic,Bingo Highway,Floating Dice By Sideways Roulette,0
Sonic,Bingo Highway,Hallway Before Checkpoint 3,0
Sonic,Bingo Highway,Optional Pinball Below Bonus Key 2,0
Sonic,Bingo Highway,Bonus Key 2,0
Sonic,Bingo Highway,Checkpoint 3,0
Sonic,Bingo Highway,Ball Slide After Checkpoint 3,0
Sonic,Bingo Highway,Second Door,0
Sonic,Bingo Highway,Second Fan Hallway,0
Sonic,Bingo Highway,Third Door,0
Sonic,Bingo Highway,Second Glass Floor,0
Sonic,Bingo Highway,Second Bingo Pinball,0
Sonic,Bingo Highway,Hallway with Many Springs,0
Sonic,Bingo Highway,Floating Dice Before Vault Door Switch,0
Sonic,Bingo Highway,Red Carpet with Vault Door Switch,0
Sonic,Bingo Highway,Vault Door,0
Sonic,Bingo Highway,Vault,0
Sonic,Bingo Highway,Bonus Key 3,0
Sonic,Bingo Highway,Checkpoint 4,0
Sonic,Bingo Highway,Triple Spring Before Many Glass Floors,0
Sonic,Bingo Highway,Many Glass Floors,0
Sonic,Bingo Highway,Slide Before Final Bingo Pinball,0
Sonic,Bingo Highway,Final Bingo Pinball,0
Sonic,Bingo Highway,Air Bingo,0
Sonic,Bingo Highway,Goal,0
