Team,Level,Name,ObjChecks
Sonic,Bullet Station,Start,0
Sonic,Bullet Station,Rail Start,0
Sonic,Bullet Station,Ground Start,0
Sonic,Bullet Station,Hallway Upper,0
Sonic,Bullet Station,Hallway Lower,0
Sonic,Bullet Station,Ground Corner,0
Sonic,Bullet Station,Lower Pit with Weight,0
Sonic,Bullet Station,Curved Ground Before First Train Cave,0
Sonic,Bullet Station,Bonus Key 1,0
Sonic,Bullet Station,First Train Cave Grate,0
Sonic,Bullet Station,First Train Cave Only Car,0
Sonic,Bullet Station,Checkpoint 1,0
Sonic,Bullet Station,First Train Cave Core,0
Sonic,Bullet Station,Rail After First Train Cave,0
Sonic,Bullet Station,Rail After First Train Cave Part 2,0
Sonic,Bullet Station,First Circle Ground Bottom,0
Sonic,Bullet Station,First Circle Ground Bottom Cannon,0
Sonic,Bullet Station,First Circle Ground Bottom Cannon Speed,0
Sonic,Bullet Station,First Circle Ground Bottom Cannon Flying,0
Sonic,Bullet Station,First Circle Ground Bottom Cannon Power,0
Sonic,Bullet Station,Bonus Key 2 Island,0
Sonic,Bullet Station,Bonus Key 2,0
Sonic,Bullet Station,First Circle Ground Top,0
Sonic,Bullet Station,Platform With 3 Rails Speed Cannon Route,0
Sonic,Bullet Station,First Circle Ground Top Case,0
Sonic,Bullet Station,Third Rail,0
Sonic,Bullet Station,Ground At Checkpoint 2,0
Sonic,Bullet Station,Checkpoint 2,0
Sonic,Bullet Station,Pit After Checkpoint 2,0
Sonic,Bullet Station,Pit After Checkpoint 2 Case,0
Sonic,Bullet Station,Fan After Checkpoint 2,0
Sonic,Bullet Station,Pole After Checkpoint 2,0
Sonic,Bullet Station,Door After Checkpoint 2,0
Sonic,Bullet Station,Grate Without TP,0
Sonic,Bullet Station,Cannon Before First Gun,0
Sonic,Bullet Station,Dash Ring Above First Gun Outside,0
Sonic,Bullet Station,First Gun Outside,0
Sonic,Bullet Station,First Gun Extra Door Inside,0
Sonic,Bullet Station,First Gun Chamber,0
Sonic,Bullet Station,First Gun Bullet Path,0
Sonic,Bullet Station,Fourth Rail,0
Sonic,Bullet Station,Single Fan Before Checkpoint 3,0
Sonic,Bullet Station,Double Fan Before Checkpoint 3,0
Sonic,Bullet Station,Ground At Checkpoint 3,0
Sonic,Bullet Station,Checkpoint 3,0
Sonic,Bullet Station,Platforms After Checkpoint 3,0
Sonic,Bullet Station,Ground Before Second Train Cave Grate,0
Sonic,Bullet Station,Behind Door At Second Train Cave Grate,0
Sonic,Bullet Station,Bonus Key 3,0
Sonic,Bullet Station,Second Train Cave Grate,0
Sonic,Bullet Station,Second Train Cave First Car With Rail,0
Sonic,Bullet Station,Second Train Cave Second Car With Pole,0
Sonic,Bullet Station,Second Train Cave Third Car With Triangle Jump,0
Sonic,Bullet Station,Second Train Cave Third Car End,0
Sonic,Bullet Station,Second Train Cave Core,0
Sonic,Bullet Station,Rail After Second Train Cave,0
Sonic,Bullet Station,Bobsled Section,0
Sonic,Bullet Station,Rail After Bobsled Section,0
Sonic,Bullet Station,Ground At Checkpoint 4,0
Sonic,Bullet Station,Checkpoint 4,0
Sonic,Bullet Station,Dead End Under Checkpoint 4,0
Sonic,Bullet Station,Second Gun Outside,0
Sonic,Bullet Station,Second Gun Outside Case,0
Sonic,Bullet Station,Second Gun Interior,0
Sonic,Bullet Station,Second Gun Bullet Path,0
Sonic,Bullet Station,Rock With Goal,0
Sonic,Bullet Station,Goal Platform,0
Sonic,Bullet Station,Goal,0
