Team,Level,Name,ObjChecks
Sonic,Casino Park,Start,0
Sonic,Casino Park,First Cannon,0
Sonic,Casino Park,First Pinball,0
Sonic,Casino Park,Top of First Pinball,0
Sonic,Casino Park,Red Carpet Room,0
Sonic,Casino Park,Lower Platform with Triple Spring,0
Sonic,Casino Park,Lower Platform End,0
Sonic,Casino Park,Triple Spring after Star Panels,0
Sonic,Casino Park,Top Platform with Switch,0
Sonic,Casino Park,First Casino Door ,0
Sonic,Casino Park,Bonus Key 1,0
Sonic,Casino Park,First Glass Floor,0
Sonic,Casino Park,Second Pinball,0
Sonic,Casino Park,Third Pinball,0
Sonic,Casino Park,Platform Under Third Pinball,0
Sonic,Casino Park,Triple Spring Under Third Pinball,0
Sonic,Casino Park,Dice with Triple Spring Under Third Pinball,0
Sonic,Casino Park,Checkpoint 1,0
Sonic,Casino Park,Red Carpet Before Roulette,0
Sonic,Casino Park,Big Roulette,0
Sonic,Casino Park,Fourth Pinball,0
Sonic,Casino Park,Platform Before Floating Dice and Fifth Pinball,0
Sonic,Casino Park,Fifth Pinball,0
Sonic,Casino Park,Platform Below Fifth Pinball,0
Sonic,Casino Park,Cannon Below Fifth Pinball,0
Sonic,Casino Park,Triple Spring Before Second Door,0
Sonic,Casino Park,Second Door,0
Sonic,Casino Park,Second Glass Floor,0
Sonic,Casino Park,Red Carpet By Bonus Key 2,0
Sonic,Casino Park,Bonus Key 2,0
Sonic,Casino Park,Checkpoint 2,0
Sonic,Casino Park,Curved Path Before Cannon Before Sixth Pinball,0
Sonic,Casino Park,Cannon Before Sixth Pinball,0
Sonic,Casino Park,Sixth Pinball Bottom,0
Sonic,Casino Park,VIP Switch Double Pinball,0
Sonic,Casino Park,VIP Switch,0
Sonic,Casino Park,Checkpoint 3,0
Sonic,Casino Park,VIP Ramp Entrance,0
Sonic,Casino Park,VIP Ramp,0
Sonic,Casino Park,Bonus Key 3,0
Sonic,Casino Park,VIP Table Cannon,0
Sonic,Casino Park,VIP Table,0
Sonic,Casino Park,Triple Spring Before Final Door,0
Sonic,Casino Park,Final Door,0
Sonic,Casino Park,Final Glass Door,0
Sonic,Casino Park,Eighth Pinball,0
Sonic,Casino Park,Final Pinball,0
Sonic,Casino Park,Goal,0
