Team,Level,Name,ObjChecks
Sonic,Egg Fleet,Start,0
Sonic,Egg Fleet,Start Rail,0
Sonic,Egg Fleet,Platforms At Start Rail,0
Sonic,Egg Fleet,First Ship,0
Sonic,Egg Fleet,First Ship After Door,0
Sonic,Egg Fleet,First Ship After Door Pole,0
Sonic,Egg Fleet,Path After First Ship Lower,0
Sonic,Egg Fleet,Path After First Ship Upper,0
Sonic,Egg Fleet,Path After First Ship Upper Cannon,0
Sonic,Egg Fleet,Path After First Ship Upper Cannon Speed,0
Sonic,Egg Fleet,Path After First Ship Upper Cannon Flying,0
Sonic,Egg Fleet,Path After First Ship Upper Cannon Power,0
Sonic,Egg Fleet,Path After First Ship Upper Platform Above Cannon,0
Sonic,Egg Fleet,Bottom Walkway With 2 Cannons After First Ship,0
Sonic,Egg Fleet,Bottom Walkway With 2 Cannons After First Ship Fan,0
Sonic,Egg Fleet,Top Route With Rail After First Ship,0
Sonic,Egg Fleet,Bottom Route Walkway After First Ship,0
Sonic,Egg Fleet,Bottom Route Walkway After First Ship Cannon,0
Sonic,Egg Fleet,Bottom Route Walkway After First Ship Cannon Speed,0
Sonic,Egg Fleet,Bottom Route Walkway After First Ship Cannon Flying,0
Sonic,Egg Fleet,Bottom Route Walkway After First Ship Cannon Power,0
Sonic,Egg Fleet,Bottom Route Platform With Single Spring,0
Sonic,Egg Fleet,Bottom Route Top Platform With Item Capsule,0
Sonic,Egg Fleet,Square Floating Platform Below Checkpoint 1,0
Sonic,Egg Fleet,Platform With Checkpoint 1 Bottom,0
Sonic,Egg Fleet,Bonus Key 1,0
Sonic,Egg Fleet,Platform With Checkpoint 1 Top,0
Sonic,Egg Fleet,Checkpoint 1,0
Sonic,Egg Fleet,Square Floating Platform At Checkpoint 1,0
Sonic,Egg Fleet,Square Floating Platform At Checkpoint 1 Lower,0
Sonic,Egg Fleet,Walkway After Checkpoint 1,0
Sonic,Egg Fleet,Many Platforms and Rails After Checkpoint 1,0
Sonic,Egg Fleet,Second Ship,0
Sonic,Egg Fleet,Second Ship After Door,0
Sonic,Egg Fleet,First Propeller,0
Sonic,Egg Fleet,First Propeller Section,0
Sonic,Egg Fleet,Third Ship Start,0
Sonic,Egg Fleet,Checkpoint 2,0
Sonic,Egg Fleet,Third Ship First Platform,0
Sonic,Egg Fleet,Third Ship Pit,0
Sonic,Egg Fleet,Third Ship Vertical Climb Start,0
Sonic,Egg Fleet,Third Ship Vertical Climb,0
Sonic,Egg Fleet,Third Ship Interior Pit,0
Sonic,Egg Fleet,Third Ship Interior Left Climb Start,0
Sonic,Egg Fleet,Third Ship Interior Left Climb ,0
Sonic,Egg Fleet,Third Ship Interior Left Climb Middle,0
Sonic,Egg Fleet,Third Ship Interior Left Climb Top,0
Sonic,Egg Fleet,Third Ship Interior Right Climb Start,0
Sonic,Egg Fleet,Third Ship Interior Right Climb ,0
Sonic,Egg Fleet,Third Ship Interior Right Climb Middle,0
Sonic,Egg Fleet,Third Ship Interior Right Climb Top,0
Sonic,Egg Fleet,Third Ship Door,0
Sonic,Egg Fleet,Third Ship After Door,0
Sonic,Egg Fleet,Third Ship Destruction Scene,0
Sonic,Egg Fleet,Rail After Third Ship,0
Sonic,Egg Fleet,Floating Square Platform After Third Ship,0
Sonic,Egg Fleet,Top Right Structure After Third Ship,0
Sonic,Egg Fleet,Below Route Platform After Third Ship,0
Sonic,Egg Fleet,Fans After Third Ship,0
Sonic,Egg Fleet,Left Structure After Third Ship,0
Sonic,Egg Fleet,Top Of Left Structure After Third Ship,0
Sonic,Egg Fleet,Big Fan After Third Ship,0
Sonic,Egg Fleet,Rail Around Big Fan ,0
Sonic,Egg Fleet,Left Platform With Fan In Middle,0
Sonic,Egg Fleet,Right Platform With Fan In Middle,0
Sonic,Egg Fleet,Back Platform With Fan In Middle,0
Sonic,Egg Fleet,Back Platform With Fan In Middle Case,0
Sonic,Egg Fleet,Platform With Checkpoint 3 Start,0
Sonic,Egg Fleet,Platform With Checkpoint 3 Second Level,0
Sonic,Egg Fleet,Platform With Checkpoint 3 Third Level,0
Sonic,Egg Fleet,Platform With Checkpoint 3 Fourth Level,0
Sonic,Egg Fleet,Checkpoint 3,0
Sonic,Egg Fleet,Bonus Key 2,0
Sonic,Egg Fleet,Fourth Ship,0
Sonic,Egg Fleet,Lower Path After Fourth Ship,0
Sonic,Egg Fleet,Upper Path After Fourth Ship,0
Sonic,Egg Fleet,Small Platform Below Fifth Ship,0
Sonic,Egg Fleet,Fifth Ship,0
Sonic,Egg Fleet,Platform With Checkpoint 4,0
Sonic,Egg Fleet,Checkpoint 4,0
Sonic,Egg Fleet,Platform With Checkpoint 4 Propeller,0
Sonic,Egg Fleet,First Propeller Path,0
Sonic,Egg Fleet,Ship In First Propeller Path,0
Sonic,Egg Fleet,Ship In First Propeller Path Propeller,0
Sonic,Egg Fleet,Second Propeller Path,0
Sonic,Egg Fleet,Sixth Ship Start,0
Sonic,Egg Fleet,Checkpoint 5,0
Sonic,Egg Fleet,Sixth Ship First Platform,0
Sonic,Egg Fleet,Sixth Ship Pit,0
Sonic,Egg Fleet,Sixth Ship Vertical Climb Start,0
Sonic,Egg Fleet,Sixth Ship Vertical Climb,0
Sonic,Egg Fleet,Sixth Ship Interior Bottom Middle,0
Sonic,Egg Fleet,Bonus Key 3,0
Sonic,Egg Fleet,Sixth Ship Interior Bottom Left,0
Sonic,Egg Fleet,Sixth Ship Interior Second Left,0
Sonic,Egg Fleet,Sixth Ship Interior Third Left,0
Sonic,Egg Fleet,Sixth Ship Interior Top Left,0
Sonic,Egg Fleet,Sixth Ship Interior Bottom Right,0
Sonic,Egg Fleet,Sixth Ship Interior Bottom Right Case,0
Sonic,Egg Fleet,Sixth Ship Interior Second Right,0
Sonic,Egg Fleet,Sixth Ship Interior Third Right,0
Sonic,Egg Fleet,Sixth Ship Interior Top Right,0
Sonic,Egg Fleet,Sixth Ship Door,0
Sonic,Egg Fleet,Sixth Ship After Door,0
Sonic,Egg Fleet,Sixth Ship Destruction Scene,0
Sonic,Egg Fleet,Goal,0
