Team,Level,Name,ObjChecks
Sonic,Final Fortress,Start,0
Sonic,Final Fortress,Platform At Start,0
Sonic,Final Fortress,Start Rail,0
Sonic,Final Fortress,First Platform,0
Sonic,Final Fortress,First Falling Platform,0
Sonic,Final Fortress,First Platform Top Rail,0
Sonic,Final Fortress,First Roof,0
Sonic,Final Fortress,First Roof Overhang,0
Sonic,Final Fortress,First Roof Case,0
Sonic,Final Fortress,First Roof Hole In Floor,0
Sonic,Final Fortress,Square Floating Platform Below First Platform,0
Sonic,Final Fortress,First Platform Lower Path,0
Sonic,Final Fortress,Falling Platform in Small Hallway,0
Sonic,Final Fortress,Square Floating Platforms Before Checkpoint 1,0
Sonic,Final Fortress,Platform With Checkpoint 1 Lower,0
Sonic,Final Fortress,Falling Platform Above Checkpoint 1,0
Sonic,Final Fortress,Platform With Checkpoint 1 Upper,0
Sonic,Final Fortress,Checkpoint 1,0
Sonic,Final Fortress,First Hallway Top Falling Platform,0
Sonic,Final Fortress,First Hallway Middle Falling Platform,0
Sonic,Final Fortress,First Hallway Bottom Falling Platform,0
Sonic,Final Fortress,First Hallway End Falling Platform,0
Sonic,Final Fortress,First Hallway Top Triangle Jump,0
Sonic,Final Fortress,First Hallway Middle Triangle Jump,0
Sonic,Final Fortress,First Hallway Bottom Triangle Jump,0
Sonic,Final Fortress,First Hallway End Bottom,0
Sonic,Final Fortress,Path After First Hallway,0
Sonic,Final Fortress,Upper Path After First Hallway,0
Sonic,Final Fortress,Upper Path After First Hallway Case,0
Sonic,Final Fortress,Upper Path After First Hallway Pole,0
Sonic,Final Fortress,Pole With Bonus Key 1,0
Sonic,Final Fortress,Bonus Key 1,0
Sonic,Final Fortress,Pole After Bonus Key 1,0
Sonic,Final Fortress,Rail After Bonus Key 1,0
Sonic,Final Fortress,Double Cannon Platform After Bonus Key 1,0
Sonic,Final Fortress,Falling Platforms After Bonus Key 1,0
Sonic,Final Fortress,Climb Above Double Cannon Platform Sides,0
Sonic,Final Fortress,Climb Above Double Cannon Platform Middle,0
Sonic,Final Fortress,Climb Above Double Cannon Platform Top,0
Sonic,Final Fortress,Lower Route Path Before Checkpoint 2 Start,0
Sonic,Final Fortress,Lower Route Path Before Checkpoint 2 Middle,0
Sonic,Final Fortress,Lower Route Path Before Checkpoint 2 Middle Case,0
Sonic,Final Fortress,Pole Above Double Cannon Platform,0
Sonic,Final Fortress,Upper Route Platform With 1-Up Before Checkpoint 2,0
Sonic,Final Fortress,Triangle Jump From 1-Up Platform Before Checkpoint 2,0
Sonic,Final Fortress,Upper Triangle Jump Before Checkpoint 2,0
Sonic,Final Fortress,Door Before Checkpoint 2,0
Sonic,Final Fortress,After Door Before Checkpoint 2,0
Sonic,Final Fortress,After Laser Wall At Checkpoint 2,0
Sonic,Final Fortress,Checkpoint 2,0
Sonic,Final Fortress,Bonus Key 2,0
Sonic,Final Fortress,Self Destruct Switch 1,0
Sonic,Final Fortress,Rail After Checkpoint 2,0
Sonic,Final Fortress,Lower Route Path After Checkpoint 2,0
Sonic,Final Fortress,Lower Route Path After Checkpoint 2 Fan,0
Sonic,Final Fortress,Upper Route Pole After Checkpoint 2,0
Sonic,Final Fortress,Circle Rail After Checkpoint 2,0
Sonic,Final Fortress,Second Hallway Middle Falling Platform,0
Sonic,Final Fortress,Second Hallway Middle Triangle Jump,0
Sonic,Final Fortress,Second Hallway Bottom Falling Platform,0
Sonic,Final Fortress,Second Hallway Bottom,0
Sonic,Final Fortress,Second Hallway Bottom Case,0
Sonic,Final Fortress,Lower Route Path After Second Hallway,0
Sonic,Final Fortress,Lower Rail Before Quin Platforms,0
Sonic,Final Fortress,Pole At Circle Rail After Checkpoint 2,0
Sonic,Final Fortress,Second Hallway Top Falling Platform,0
Sonic,Final Fortress,Second Hallway Top Triangle Jump,0
Sonic,Final Fortress,Second Hallway Top Ring Line,0
Sonic,Final Fortress,Upper Rail Before Quin Platforms,0
Sonic,Final Fortress,Quin Platforms Bottom Platform,0
Sonic,Final Fortress,Quin Platforms Bottom Platform Fan,0
Sonic,Final Fortress,Quin Platforms Front Middle Platform,0
Sonic,Final Fortress,Quin Platforms Front Middle Platform Case,0
Sonic,Final Fortress,Quin Platforms Left Top Platform,0
Sonic,Final Fortress,Quin Platforms Right Top Platform,0
Sonic,Final Fortress,Quin Platforms Small Middle Platform,0
Sonic,Final Fortress,Quin Platforms Small Middle Platform Pole,0
Sonic,Final Fortress,Wall Section With Bonus Key 3,0
Sonic,Final Fortress,Bonus Key 3,0
Sonic,Final Fortress,Rail Above Quin Platforms,0
Sonic,Final Fortress,Rail Section After Quin Platforms,0
Sonic,Final Fortress,Platform Tower Bottom,0
Sonic,Final Fortress,Platform Tower Bottom Fan,0
Sonic,Final Fortress,Platform Tower Left,0
Sonic,Final Fortress,Platform Tower Left Case,0
Sonic,Final Fortress,Platform Tower Right,0
Sonic,Final Fortress,Platform Tower Right Pole,0
Sonic,Final Fortress,Platform Tower Top Door,0
Sonic,Final Fortress,Platform Tower Top After Door,0
Sonic,Final Fortress,Checkpoint 3,0
Sonic,Final Fortress,Self Destruct Switch 2,0
Sonic,Final Fortress,Final Rail Section,0
Sonic,Final Fortress,Big Laser Rail Section,0
Sonic,Final Fortress,Final Self Destruct Switch Platform Bottom,0
Sonic,Final Fortress,Final Self Destruct Switch Platform Top,0
Sonic,Final Fortress,Self Destruct Switch 3,0
Sonic,Final Fortress,End Platform,0
Sonic,Final Fortress,Goal,0
