Team,Level,Name,ObjChecks
Sonic,Frog Forest,Start,0
Sonic,Frog Forest,First Ground,0
Sonic,Frog Forest,First Corkscrew Loop,0
Sonic,Frog Forest,Second Ground With Frog,0
Sonic,Frog Forest,First Green Frog,0
Sonic,Frog Forest,First Ivy Grind,0
Sonic,Frog Forest,Tall Tree Platform,0
Sonic,Frog Forest,Top Route to Very Big Yellow Plant,0
Sonic,Frog Forest,Yellow Platform With Item Box,0
Sonic,Frog Forest,Swinging Vine Before First Tree,0
Sonic,Frog Forest,Ground Under First Tree,0
Sonic,Frog Forest,First Tree Bottom,0
Sonic,Frog Forest,Second Green Frog,0
Sonic,Frog Forest,First Tree Top,0
Sonic,Frog Forest,Checkpoint 1,0
Sonic,Frog Forest,Bonus Key 1,0
Sonic,Frog Forest,First Circle Island After Checkpoint 1,0
Sonic,Frog Forest,Second Circle Island After Checkpoint 1,0
Sonic,Frog Forest,Third Circle Island After Checkpoint 1,0
Sonic,Frog Forest,Second Circle Island After Checkpoint 1 Green Frog,0
Sonic,Frog Forest,Small Green Platform Second Circle Island After Checkpoint 1,0
Sonic,Frog Forest,Top Half of Third Circle Island After Checkpoint 1,0
Sonic,Frog Forest,Fourth Circle Island After Checkpoint 1,0
Sonic,Frog Forest,Fifth Circle Island After Checkpoint 1,0
Sonic,Frog Forest,Top Half of Fifth Circle Island After Checkpoint 1,0
Sonic,Frog Forest,Long Path After Checkpoint 1,0
Sonic,Frog Forest,Second Corkscrew,0
Sonic,Frog Forest,End of Long Path After Checkpoint 1,0
Sonic,Frog Forest,Long Path After Checkpoint 1 Green Frog,0
Sonic,Frog Forest,End of Long Path After Checkpoint 1 Large Yellow Platform,0
Sonic,Frog Forest,Small Circle Island Before Checkpoint 2,0
Sonic,Frog Forest,Small Circle Island Before Checkpoint 2 Top,0
Sonic,Frog Forest,Small Green Platform Before Checkpoint 2,0
Sonic,Frog Forest,Checkpoint 2 Island,0
Sonic,Frog Forest,Checkpoint 2,0
Sonic,Frog Forest,Top of Checkpoint 2 Island,0
Sonic,Frog Forest,Ring Path With Target Switch Above Checkpoint 2,0
Sonic,Frog Forest,Large Yellow Platforms At Checkpoint 2,0
Sonic,Frog Forest,Small Green Platform Above Checkpoint 2,0
Sonic,Frog Forest,Left Circle Island At Checkpoint 2,0
Sonic,Frog Forest,Left Circle Island At Checkpoint 2 Case,0
Sonic,Frog Forest,Right Circle Island At Checkpoint 2,0
Sonic,Frog Forest,Top of Right Circle Island At Checkpoint 2,0
Sonic,Frog Forest,Upper Right Circle Island At Checkpoint 2,0
Sonic,Frog Forest,Upper Right Circle Island At Checkpoint 2 Alcove,0
Sonic,Frog Forest,Top of Upper Right Circle Island At Checkpoint 2,0
Sonic,Frog Forest,Circle Island Before Propeller Island After Checkpoint 2,0
Sonic,Frog Forest,Top of Circle Island Before Propeller Island After Checkpoint 2,0
