Team,Level,Name,ObjChecks
Sonic,Grand Metropolis,Secret Start,0
Sonic,Grand Metropolis,Secret Falling Bridge,0
Sonic,Grand Metropolis,Secret Checkpoint,0
Sonic,Grand Metropolis,Secret Long Road,0
Sonic,Grand Metropolis,Secret Bonus Key,0
Sonic,Grand Metropolis,Secret Path Below Secret Bonus Key,0
Sonic,Grand Metropolis,Secret Blimp Platform,0
Sonic,Grand Metropolis,Secret Empty Lone Roof,0
Sonic,Grand Metropolis,Secret Road After Cap,0
Sonic,Grand Metropolis,Secret Lower Empty Lone Roof,0
Sonic,Grand Metropolis,Secret End of Road,0
Sonic,Grand Metropolis,Roof Below Second Bonus Key,0
