Team,Level,Name,ObjChecks
Sonic,Grand Metropolis,Start,0
Sonic,Grand Metropolis,Start Road,0
Sonic,Grand Metropolis,Lower Road Start,0
Sonic,Grand Metropolis,First Cap,0
Sonic,Grand Metropolis,First Accel Road,0
Sonic,Grand Metropolis,Push Switch and Cap,0
Sonic,Grand Metropolis,Mini Room 1,0
Sonic,Grand Metropolis,Second Cap,0
Sonic,Grand Metropolis,Second Accel Road,0
Sonic,Grand Metropolis,Checkpoint 1,0
Sonic,Grand Metropolis,Bonus Key 1,0
Sonic,Grand Metropolis,Second Pull Switch,0
Sonic,Grand Metropolis,Mini Room 2,0
Sonic,Grand Metropolis,Road Corkscrew,0
Sonic,Grand Metropolis,Checkpoint 2,0
Sonic,Grand Metropolis,Checkpoint 2 Push Switch,0
Sonic,Grand Metropolis,Checkpoint 2 Left Door,0
Sonic,Grand Metropolis,Checkpoint 2 Left Door Switch,0
Sonic,Grand Metropolis,Checkpoint 2 Right Door,0
Sonic,Grand Metropolis,Checkpoint 2 Falling Bridge,0
Sonic,Grand Metropolis,Four Unbreakable Blocks,0
Sonic,Grand Metropolis,Lower Section Under Ring Line,0
Sonic,Grand Metropolis,Path Between 3 Ring Lines,0
Sonic,Grand Metropolis,Left Path with Ring Line,0
Sonic,Grand Metropolis,Lower Section With Warp Flower,0
Sonic,Grand Metropolis,Door With Push Switch,0
Sonic,Grand Metropolis,First Hallway,0
Sonic,Grand Metropolis,First Hallway Lower Route,0
Sonic,Grand Metropolis,First Hallway Middle Road,0
Sonic,Grand Metropolis,First Hallway Turtle Door,0
Sonic,Grand Metropolis,First Hallway Turtle Door Case,0
Sonic,Grand Metropolis,First Hallway After Turtle Door,0
Sonic,Grand Metropolis,First Hallway Second Door,0
Sonic,Grand Metropolis,First Hallway Second Door Case,0
Sonic,Grand Metropolis,First Hallway After Second Door,0
Sonic,Grand Metropolis,Checkpoint 3,0
Sonic,Grand Metropolis,Small Road in Hallway,0
Sonic,Grand Metropolis,Hallway Bottom With Case and Pole,0
Sonic,Grand Metropolis,Hallway Bottom Case,0
Sonic,Grand Metropolis,Hallway Long Road With Light Dash,0
Sonic,Grand Metropolis,Door With Target Switch,0
Sonic,Grand Metropolis,Small Pole Room,0
Sonic,Grand Metropolis,Checkpoint 4,0
Sonic,Grand Metropolis,Checkpoint 4 Cannon Speed,0
Sonic,Grand Metropolis,Checkpoint 4 Cannon Flying,0
Sonic,Grand Metropolis,Checkpoint 4 Cannon Power,0
Sonic,Grand Metropolis,Bottom Platform After Checkpoint 4,0
Sonic,Grand Metropolis,Top Platform With Rail And Dash Ring,0
Sonic,Grand Metropolis,Long Rail Platform,0
Sonic,Grand Metropolis,Blimp Platform,0
Sonic,Grand Metropolis,Platform After TP,0
Sonic,Grand Metropolis,Bonus Key 2,0
Sonic,Grand Metropolis,Falling Bridge After TP,0
Sonic,Grand Metropolis,Tilting Bridge,0
Sonic,Grand Metropolis,Tilting Bridge Lower,0
Sonic,Grand Metropolis,Tilting Bridge Part 2,0
Sonic,Grand Metropolis,Platform Below Tilting Bridge Part 2,0
Sonic,Grand Metropolis,Goal,0
