Team,Level,Name,ObjChecks
Sonic,Hang Castle,Start,0
Sonic,Hang Castle,First Door Entrance,0
Sonic,Hang Castle,First TP Switch,0
Sonic,Hang Castle,First Upside Down Start,0
Sonic,Hang Castle,First Upside Down Path Above Start,0
Sonic,Hang Castle,First Tower,0
Sonic,Hang Castle,First Tower Case,0
Sonic,Hang Castle,Second TP Switch,0
Sonic,Hang Castle,Second Rightside Start,0
Sonic,Hang Castle,Bonus Key 1,0
Sonic,Hang Castle,Second Door Entrance,0
Sonic,Hang Castle,Checkpoint 1,0
Sonic,Hang Castle,Hole By Checkpoint 1,0
Sonic,Hang Castle,Third TP Switch,0
Sonic,Hang Castle,Second Upside Down Start,0
Sonic,Hang Castle,Second Upside Down First Tower,0
Sonic,Hang Castle,Second Upside Down Second Tower,0
Sonic,Hang Castle,Second Upside Down Invisible Path,0
Sonic,Hang Castle,Second Upside Down Third Tower,0
Sonic,Hang Castle,Second Upside Down Third Tower Case,0
Sonic,Hang Castle,Second Upside Down Third Tower Ring Trail,0
Sonic,Hang Castle,Second Upside Down Fourth Tower,0
Sonic,Hang Castle,Second Upside Down Fifth Tower,0
Sonic,Hang Castle,Fourth TP Switch,0
Sonic,Hang Castle,Second Door Entrance Looped Back,0
Sonic,Hang Castle,First Courtyard,0
Sonic,Hang Castle,First Courtyard Wall Crack Alcove,0
Sonic,Hang Castle,Bonus Key 2,0
Sonic,Hang Castle,Spiral Tower Above First Courtyard,0
Sonic,Hang Castle,Top of Walls of First Courtyard,0
Sonic,Hang Castle,Path At Checkpoint 2,0
Sonic,Hang Castle,Checkpoint 2,0
Sonic,Hang Castle,Fifth TP Switch,0
Sonic,Hang Castle,Third Upside Down Start,0
Sonic,Hang Castle,Third Upside Down First Tower,0
Sonic,Hang Castle,Third Upside Down Second Tower,0
Sonic,Hang Castle,Third Upside Down Third Tower,0
Sonic,Hang Castle,Third Upside Down End,0
Sonic,Hang Castle,Third Upside Down End Case,0
Sonic,Hang Castle,Sixth TP Switch,0
Sonic,Hang Castle,Pool Section,0
Sonic,Hang Castle,Second Invis Path,0
Sonic,Hang Castle,Third Door Entrance,0
Sonic,Hang Castle,Third Door Entrance Alcove,0
Sonic,Hang Castle,Second Courtyard,0
Sonic,Hang Castle,Second Courtyard Alcove,0
Sonic,Hang Castle,Second Courtyard Alcove Case,0
Sonic,Hang Castle,Fourth Door Entrance,0
Sonic,Hang Castle,Tower Base At Checkpoint 3,0
Sonic,Hang Castle,Checkpoint 3,0
Sonic,Hang Castle,Tower Base At Checkpoint 3 Case,0
Sonic,Hang Castle,Seventh TP Switch,0
Sonic,Hang Castle,Fourth Upside Down Start,0
Sonic,Hang Castle,Fourth Upside Down Tower Interior,0
Sonic,Hang Castle,Fourth Upside Down Tower Interior Case,0
Sonic,Hang Castle,Bonus Key 3,0
Sonic,Hang Castle,Eight TP Switch,0
Sonic,Hang Castle,Rightside Tower Interior With Push Pull Switch,0
Sonic,Hang Castle,Fifth Door Entrance,0
Sonic,Hang Castle,Eggman Statue Platform,0
Sonic,Hang Castle,Eggman Statue Platform Case,0
Sonic,Hang Castle,Ninth TP Switch,0
Sonic,Hang Castle,Metal Sonic Statue Platform,0
Sonic,Hang Castle,Metal Sonic Statue Cracked Wall,0
Sonic,Hang Castle,Sixth Door Entrance,0
Sonic,Hang Castle,Long Tower Vertical Section,0
Sonic,Hang Castle,Goal,0
