Team,Level,Name,ObjChecks
Sonic,Lost Jungle,Start,0
Sonic,Lost Jungle,Start Case,0
Sonic,Lost Jungle,Mushrooms Above Start,0
Sonic,Lost Jungle,First Ivy,0
Sonic,Lost Jungle,Mushroom At First Ivy,0
Sonic,Lost Jungle,Upper Mushroom At First Ivy,0
Sonic,Lost Jungle,Island With First Black Frog Bottom,0
Sonic,Lost Jungle,Island With First Black Frog Layer With Bonus Key 1,0
Sonic,Lost Jungle,Bonus Key 1,0
Sonic,Lost Jungle,Island With First Black Frog Layer 3,0
Sonic,Lost Jungle,Island With First Black Frog Layer With Checkpoint 1,0
Sonic,Lost Jungle,Checkpoint 1,0
Sonic,Lost Jungle,Path After Checkpoint 1,0
Sonic,Lost Jungle,Island With Egg Hammer,0
Sonic,Lost Jungle,Path With Second Black Frog,0
Sonic,Lost Jungle,Green Platforms After Second Black Frog,0
Sonic,Lost Jungle,Second Layer After Second Black Frog,0
Sonic,Lost Jungle,Third Layer After Second Black Frog,0
Sonic,Lost Jungle,Fourth Layer After Second Black Frog,0
Sonic,Lost Jungle,Fifth Layer After Second Black Frog,0
Sonic,Lost Jungle,Floating Island With Checkpoint 2,0
Sonic,Lost Jungle,Checkpoint 2,0
Sonic,Lost Jungle,Swinging Vine After Checkpoint 2,0
Sonic,Lost Jungle,Start of Path After Checkpoint 2,0
Sonic,Lost Jungle,Start of Path After Checkpoint 2 Case,0
Sonic,Lost Jungle,Start of Path After Checkpoint 2 Green Frog,0
Sonic,Lost Jungle,Path After Checkpoint 2,0
Sonic,Lost Jungle,Small Island With Klagens,0
Sonic,Lost Jungle,Ivy That Grows As You Grind On It 3,0
Sonic,Lost Jungle,Mushroom With Black Frog Before Propeller,0
Sonic,Lost Jungle,Path With First Propeller,0
Sonic,Lost Jungle,Island Off Of Path With First Propeller,0
Sonic,Lost Jungle,First Propeller,0
Sonic,Lost Jungle,Island After First Propeller,0
Sonic,Lost Jungle,Bonus Key 2,0
Sonic,Lost Jungle,Island After First Propeller Case,0
Sonic,Lost Jungle,Path With Checkpoint 3,0
Sonic,Lost Jungle,Checkpoint 3,0
Sonic,Lost Jungle,Top Of Horizontal Loop Cave Thing,0
Sonic,Lost Jungle,Top Of Horizontal Loop Cave Thing Green Frog,0
Sonic,Lost Jungle,Path With Checkpoint 3 Case,0
Sonic,Lost Jungle,Long Path After Checkpoint 3,0
Sonic,Lost Jungle,Long Path After Checkpoint 3 Green Frog,0
Sonic,Lost Jungle,Elevated End Of Long Path After Checkpoint 3,0
Sonic,Lost Jungle,Elevated End Of Long Path After Checkpoint 3 Green Frog,0
Sonic,Lost Jungle,Top of Elevated End Of Long Path After Checkpoint 3,0
Sonic,Lost Jungle,Small Green Platform Above T Island Before Checkpoint 4,0
Sonic,Lost Jungle,First Small Green Platform Above Boomerang Islands,0
Sonic,Lost Jungle,Second Small Green Platform Above Boomerang Islands,0
Sonic,Lost Jungle,T Island Before Checkpoint 4,0
Sonic,Lost Jungle,Boomerang Island Right,0
Sonic,Lost Jungle,Mushrooms Between Boomerang Islands,0
Sonic,Lost Jungle,Boomerang Island Left,0
Sonic,Lost Jungle,Boomerang Island Left Case,0
Sonic,Lost Jungle,Upper Mushroom Between Boomerang Islands,0
Sonic,Lost Jungle,T Island With Checkpoint 4,0
Sonic,Lost Jungle,Checkpoint 4,0
Sonic,Lost Jungle,Second Propeller,0
Sonic,Lost Jungle,Inside Of Very Big Yellow Plant,0
Sonic,Lost Jungle,Bonus Key 3,0
Sonic,Lost Jungle,Tree After Checkpoint 4 Base,0
Sonic,Lost Jungle,Green Platforms On Right Side Of Tree Base,0
Sonic,Lost Jungle,Bouncy Fruit On Left Side Of Tree Base,0
Sonic,Lost Jungle,Second Layer of Tree,0
Sonic,Lost Jungle,Second Layer of Tree Green Frog,0
Sonic,Lost Jungle,Second Layer of Tree Case,0
Sonic,Lost Jungle,Third Layer of Tree,0
Sonic,Lost Jungle,Third Layer of Tree Case,0
Sonic,Lost Jungle,Third Layer of Tree Green Frog,0
Sonic,Lost Jungle,Third Layer of Tree Tall Tree Platform Top,0
Sonic,Lost Jungle,Power Gong Branch Top,0
Sonic,Lost Jungle,Fourth Layer of Tree,0
Sonic,Lost Jungle,Fourth Layer of Tree Case,0
Sonic,Lost Jungle,Fourth Layer of Tree Tall Tree Platform,0
Sonic,Lost Jungle,Path With Checkpoint 5,0
Sonic,Lost Jungle,Checkpoint 5,0
Sonic,Lost Jungle,Path With Checkpoint 5 Green Frog,0
Sonic,Lost Jungle,Ivy That Grows As You Grind On It 2 At Checkpoint 5,0
Sonic,Lost Jungle,Ivy Downward Spiral,0
Sonic,Lost Jungle,Island With Dash Ramp and Target Switch,0
Sonic,Lost Jungle,Vector Dad Section,0
Sonic,Lost Jungle,Goal Island,0
Sonic,Lost Jungle,Goal Island Green Frog,0
Sonic,Lost Jungle,Goal,0
