Team,Level,Name,ObjChecks
Sonic,Mystic Mansion,Start,0
Sonic,Mystic Mansion,First Door Entrance,0
Sonic,Mystic Mansion,First Room,0
Sonic,Mystic Mansion,First Hallway With Stairs,0
Sonic,Mystic Mansion,Circle Room With Door,0
Sonic,Mystic Mansion,Circle Room With Door Pit,0
Sonic,Mystic Mansion,Circle Room With Door Case,0
Sonic,Mystic Mansion,First TP Switch,0
Sonic,Mystic Mansion,Circle Room With Hallway,0
Sonic,Mystic Mansion,Hallway With 2 Weights,0
Sonic,Mystic Mansion,Bonus Key 1,0
Sonic,Mystic Mansion,Door At Checkpoint 1,0
Sonic,Mystic Mansion,Checkpoint 1,0
Sonic,Mystic Mansion,Room With TP Switch And Painting,0
Sonic,Mystic Mansion,Second TP Switch,0
Sonic,Mystic Mansion,Room With TP Switch And Painting After TP Switch,0
Sonic,Mystic Mansion,Pit Before First Bobsled,0
Sonic,Mystic Mansion,Room Before First Bobsled Bottom,0
Sonic,Mystic Mansion,Room Before First Bobsled Top,0
Sonic,Mystic Mansion,First Bobsled,0
Sonic,Mystic Mansion,Door At Checkpoint 2,0
Sonic,Mystic Mansion,Checkpoint 2,0
Sonic,Mystic Mansion,Bonus Key 2,0
Sonic,Mystic Mansion,Middle Skeleton Room,0
Sonic,Mystic Mansion,Middle Skeleton Top,0
Sonic,Mystic Mansion,Left Skeleton Room Entrance,0
Sonic,Mystic Mansion,Right Skeleton Room Entrance,0
Sonic,Mystic Mansion,Right Skeleton Room First Platform,0
Sonic,Mystic Mansion,Right Skeleton Room Second Platform,0
Sonic,Mystic Mansion,Right Skeleton Room Top of Head,0
Sonic,Mystic Mansion,Right Skeleton Room Back Alcove,0
Sonic,Mystic Mansion,Left Skeleton Room Back Alcove,0
Sonic,Mystic Mansion,Left Skeleton Room Top of Head,0
Sonic,Mystic Mansion,Left Skeleton Room Top Platform,0
Sonic,Mystic Mansion,Hallway With Stairs After Skeleton Room,0
Sonic,Mystic Mansion,First Circle Room With Wall Crack,0
Sonic,Mystic Mansion,Second Circle Room With Fan,0
Sonic,Mystic Mansion,Hallway With Pit,0
Sonic,Mystic Mansion,Door Entrance After Pit,0
Sonic,Mystic Mansion,Room With TP Switch And Statues,0
Sonic,Mystic Mansion,Room With TP Switch And Statues After Switch,0
Sonic,Mystic Mansion,Small Curved Hallway,0
Sonic,Mystic Mansion,Room With Mini Well And TP Switch,0
Sonic,Mystic Mansion,Room With Mini Well And TP Switch Case,0
Sonic,Mystic Mansion,Room With Mini Well After TP Switch,0
Sonic,Mystic Mansion,Room With Checkpoint 3,0
Sonic,Mystic Mansion,Checkpoint 3,0
Sonic,Mystic Mansion,Second Bobsled,0
Sonic,Mystic Mansion,Third Bobsled,0
Sonic,Mystic Mansion,Door At Checkpoint 4,0
Sonic,Mystic Mansion,Checkpoint 4,0
Sonic,Mystic Mansion,Platforms At Door At Checkpoint 4,0
Sonic,Mystic Mansion,Bonus Key 3,0
Sonic,Mystic Mansion,Room With Triangle Jump,0
Sonic,Mystic Mansion,Room With Triangle Jump Case,0
Sonic,Mystic Mansion,Room With Triangle Jump After Switch,0
Sonic,Mystic Mansion,SpiderWeb After Triangle Jump,0
Sonic,Mystic Mansion,Well Entrance,0
Sonic,Mystic Mansion,Nexus Start Room,0
Sonic,Mystic Mansion,End of Level,0
Sonic,Mystic Mansion,Goal,0
