Team,Level,Name,ObjChecks
Sonic,Ocean Palace,Start,0
Sonic,Ocean Palace,First Path,0
Sonic,Ocean Palace,Lower Path Before First Door,0
Sonic,Ocean Palace,First Door,0
Sonic,Ocean Palace,Falling Stone Structure 1,0
Sonic,Ocean Palace,Checkpoint 1,0
Sonic,Ocean Palace,Falling Stone Structure 2,0
Sonic,Ocean Palace,Bonus Key 1,0
Sonic,Ocean Palace,Second Door,0
Sonic,Ocean Palace,Hallway After Second Door,0
Sonic,Ocean Palace,Upper Route After Second Door,0
Sonic,Ocean Palace,Lower Route After Second Door,0
Sonic,Ocean Palace,Third Door,0
Sonic,Ocean Palace,Small Hallway After Third Door,0
Sonic,Ocean Palace,Upper Route After Third Door,0
Sonic,Ocean Palace,Lower Route After Third Door,0
Sonic,Ocean Palace,Small Path With Dash Pad,0
Sonic,Ocean Palace,Small Path With Fan,0
Sonic,Ocean Palace,Path With 2 Fans,0
Sonic,Ocean Palace,Many Breakable Blocks,0
Sonic,Ocean Palace,Fourth Door,0
Sonic,Ocean Palace,Path Before Turtles,0
Sonic,Ocean Palace,Checkpoint 2,0
Sonic,Ocean Palace,Turtle Start,0
Sonic,Ocean Palace,Turtle Start Cannon Speed,0
Sonic,Ocean Palace,Turtle Start Cannon Flying,0
Sonic,Ocean Palace,Turtle Start Cannon Power,0
Sonic,Ocean Palace,Turtle 1 Left,0
Sonic,Ocean Palace,Turtle 1 Right,0
Sonic,Ocean Palace,Turtle 1 Right Cannon,0
Sonic,Ocean Palace,Turtle 1 Right Cannon Speed,0
Sonic,Ocean Palace,Turtle 1 Right Cannon Flying,0
Sonic,Ocean Palace,Turtle 1 Right Cannon Power,0
Sonic,Ocean Palace,Turtle 2 Middle,0
Sonic,Ocean Palace,Turtle 2 Middle Cannon,0
Sonic,Ocean Palace,Turtle 2 Middle Cannon Speed,0
Sonic,Ocean Palace,Turtle 2 Middle Cannon Flying,0
Sonic,Ocean Palace,Turtle 2 Middle Cannon Power,0
Sonic,Ocean Palace,Turtle 2 Right,0
Sonic,Ocean Palace,Turtle 3 Left,0
Sonic,Ocean Palace,Turtle 3 Left Fan,0
Sonic,Ocean Palace,Turtle 3 Middle,0
Sonic,Ocean Palace,Turtle 4 Lefter,0
Sonic,Ocean Palace,Turtle 4 Lefter Cannon,0
Sonic,Ocean Palace,Turtle 4 Lefter Cannon Speed,0
Sonic,Ocean Palace,Turtle 4 Lefter Cannon Flying,0
Sonic,Ocean Palace,Turtle 4 Lefter Cannon Power,0
Sonic,Ocean Palace,Turtle 4 Lefter High Platform,0
Sonic,Ocean Palace,Turtle 4 Left,0
Sonic,Ocean Palace,Turtle 4 Left High Item Balloon,0
Sonic,Ocean Palace,Turtle 4 Far Right,0
Sonic,Ocean Palace,Bonus Key 2,0
Sonic,Ocean Palace,Turtle 5 Lefter,0
Sonic,Ocean Palace,Turtle 5 Lefter Spring,0
Sonic,Ocean Palace,Turtle 5 Left,0
Sonic,Ocean Palace,Turtle 5 Left High Item Balloon,0
Sonic,Ocean Palace,Turtle 6 Left,0
Sonic,Ocean Palace,Turtle 6 Middle,0
Sonic,Ocean Palace,Turtle Final,0
Sonic,Ocean Palace,Turtle Final Spring,0
Sonic,Ocean Palace,Turtle Final Top,0
Sonic,Ocean Palace,Checkpoint 3,0
Sonic,Ocean Palace,5 Egg Pawns,0
Sonic,Ocean Palace,5 Egg Pawns Lower Route Fan 1,0
Sonic,Ocean Palace,5 Egg Pawns Lower Route Fan 2,0
Sonic,Ocean Palace,5 Egg Pawns Upper Flying Route,0
Sonic,Ocean Palace,5 Egg Pawns Upper Flying Route 2,0
Sonic,Ocean Palace,Triple Spring Before Fan,0
Sonic,Ocean Palace,Triple Spring Fan 1,0
Sonic,Ocean Palace,Triple Spring Fan 2,0
Sonic,Ocean Palace,Path Corner With DashRamp,0
Sonic,Ocean Palace,Palace Door,0
Sonic,Ocean Palace,Palace Door Inside,0
Sonic,Ocean Palace,Bonus Key 3,0
Sonic,Ocean Palace,Palace Above Roof,0
Sonic,Ocean Palace,Path Above Bonus Key,0
Sonic,Ocean Palace,Palace Inside Lower,0
Sonic,Ocean Palace,Palace Lower Fan 1,0
Sonic,Ocean Palace,Palace Lower Fan 2,0
Sonic,Ocean Palace,Checkpoint 4,0
Sonic,Ocean Palace,Kaos Start,0
Sonic,Ocean Palace,Kaos 2,0
Sonic,Ocean Palace,Goal,0
