Team,Level,Name,ObjChecks
Sonic,Rail Canyon,Start,0
Sonic,Rail Canyon,Start Rail,0
Sonic,Rail Canyon,First Ground Lower,0
Sonic,Rail Canyon,First Ground Upper,0
Sonic,Rail Canyon,Checkpoint 1,0
Sonic,Rail Canyon,Ground With Bonus Key 1,0
Sonic,Rail Canyon,Bonus Key 1,0
Sonic,Rail Canyon,Ground With Bonus Key 1 Top,0
Sonic,Rail Canyon,Platform with 3 Rails and Rail Switch,0
Sonic,Rail Canyon,First Rail Switch,0
Sonic,Rail Canyon,Ground After Rail Switch,0
Sonic,Rail Canyon,Top Revolver With Eggman Horn Statue After First Rail Switch,0
Sonic,Rail Canyon,Second Switchable Rail,0
Sonic,Rail Canyon,Second Rail Section,0
Sonic,Rail Canyon,Ground with Checkpoint 2 Start,0
Sonic,Rail Canyon,Ground with Checkpoint 2 End,0
Sonic,Rail Canyon,Checkpoint 2,0
Sonic,Rail Canyon,Pole At Checkpoint 2,0
Sonic,Rail Canyon,Ground Above Checkpoint 2,0
Sonic,Rail Canyon,Door Entrance After Checkpoint 2,0
Sonic,Rail Canyon,Door Exit After Checkpoint 2,0
Sonic,Rail Canyon,Third Rail Section,0
Sonic,Rail Canyon,First Circle Ground Bottom,0
Sonic,Rail Canyon,First Circle Ground Bottom Pole,0
Sonic,Rail Canyon,First Circle Ground Top,0
Sonic,Rail Canyon,Second Circle Ground Bottom,0
Sonic,Rail Canyon,Second Circle Ground Bottom After Laser Wall,0
Sonic,Rail Canyon,Lower Path with Extra Checkpoint,0
Sonic,Rail Canyon,Upper Platform with 3 Rails Before Checkpoint 3,0
Sonic,Rail Canyon,Second Circle Ground Top,0
Sonic,Rail Canyon,Checkpoint 3,0
Sonic,Rail Canyon,Fourth Rail Section,0
Sonic,Rail Canyon,Ground with Checkpoint 4,0
Sonic,Rail Canyon,Checkpoint 4,0
Sonic,Rail Canyon,Ground with Rail Switch After Checkpoint 4,0
Sonic,Rail Canyon,Ground with Rail Switch After Checkpoint 4 Case,0
Sonic,Rail Canyon,Fifth Rail Section,0
Sonic,Rail Canyon,Fifth Rail Section Left,0
Sonic,Rail Canyon,Fifth Rail Section Right,0
Sonic,Rail Canyon,Fifth Rail Section Combine,0
Sonic,Rail Canyon,Station Entrance Roof,0
Sonic,Rail Canyon,Station Entrance Rail,0
Sonic,Rail Canyon,Station Start,0
Sonic,Rail Canyon,Bonus Key 2,0
Sonic,Rail Canyon,Station Middle Left,0
Sonic,Rail Canyon,Station Middle Left Cage,0
Sonic,Rail Canyon,Station Middle Right,0
Sonic,Rail Canyon,Station Middle Right Cage,0
Sonic,Rail Canyon,Station Back Left,0
Sonic,Rail Canyon,Station Back Right,0
Sonic,Rail Canyon,Station Back Right Pole,0
Sonic,Rail Canyon,Ground Above Station,0
Sonic,Rail Canyon,Big Fan At Checkpoint 5,0
Sonic,Rail Canyon,Checkpoint 5,0
Sonic,Rail Canyon,Sixth Rail Section,0
Sonic,Rail Canyon,Platform with 3 Rails At Checkpoint 6,0
Sonic,Rail Canyon,Checkpoint 6,0
Sonic,Rail Canyon,Sixth Rail Section Continued,0
Sonic,Rail Canyon,Ground With Pole and Target Switch,0
Sonic,Rail Canyon,Ground With Pole and Target Switch Pole,0
Sonic,Rail Canyon,Bonus Key 3,0
Sonic,Rail Canyon,Final Rail Section,0
Sonic,Rail Canyon,Roof of Goal Station,0
Sonic,Rail Canyon,Goal,0
