Team,Level,Name,ObjChecks
Sonic,Seaside Hill,Start,0
Sonic,Seaside Hill,Triple Spring Start,0
Sonic,Seaside Hill,Between Triple Spring and Spring,0
Sonic,Seaside Hill,Before Jump Pad,0
Sonic,Seaside Hill,Checkpoint 1,0
Sonic,Seaside Hill,Eggmans Robots Bottom,0
Sonic,Seaside Hill,Hermit Crab Cliff Below Eggmans Robots,0
Sonic,Seaside Hill,Eggmans Robots Middle,0
Sonic,Seaside Hill,Eggmans Robots Top,0
Sonic,Seaside Hill,ItemBox Cliff after Eggmans Robots,0
Sonic,Seaside Hill,Top Cliff Route with Hermit Crab,0
Sonic,Seaside Hill,Bottom Cliff Route,0
Sonic,Seaside Hill,Triple Spring Before Bonus Key 1,0
Sonic,Seaside Hill,Bonus Key 1,0
Sonic,Seaside Hill,4 Egg Pawns,0
Sonic,Seaside Hill,Checkpoint 2,0
Sonic,Seaside Hill,First Island,0
Sonic,Seaside Hill,First Island Cannon Speed,0
Sonic,Seaside Hill,First Island Cannon Flying Left,0
Sonic,Seaside Hill,First Island Cannon Power,0
Sonic,Seaside Hill,First Island Cannon Flying Right,0
Sonic,Seaside Hill,Second Island High Item Balloon,0
Sonic,Seaside Hill,Second Island,0
Sonic,Seaside Hill,Ruins After Second Island,0
Sonic,Seaside Hill,Before First Bobsled,0
Sonic,Seaside Hill,First Bobsled,0
Sonic,Seaside Hill,First Bobsled Upper Cliff,0
Sonic,Seaside Hill,First Bobsled Big Island,0
Sonic,Seaside Hill,First Bobsled Small Island,0
Sonic,Seaside Hill,First Bobsled Second Big Island,0
Sonic,Seaside Hill,Ruins After First Bobsled,0
Sonic,Seaside Hill,Checkpoint 3,0
Sonic,Seaside Hill,Lower Cliff With Hermit Crab After Checkpoint 3,0
Sonic,Seaside Hill,Upper Route After Checkpoint 3,0
Sonic,Seaside Hill,Path Before Big Ruin Beach,0
Sonic,Seaside Hill,Big Ruin Beach Lower Cliffs At Start,0
Sonic,Seaside Hill,Big Ruin Beach Upper Route 1,0
Sonic,Seaside Hill,Big Ruin Beach Upper Route 2,0
Sonic,Seaside Hill,Big Ruin Beach Upper Route 3,0
Sonic,Seaside Hill,Big Ruin Beach Middle Route,0
Sonic,Seaside Hill,Big Ruin Beach Island 1,0
Sonic,Seaside Hill,Big Ruin Beach Island 1 Cannon Speed,0
Sonic,Seaside Hill,Big Ruin Beach Island 1 Cannon Flying,0
Sonic,Seaside Hill,Big Ruin Beach Island 1 Cannon Power,0
Sonic,Seaside Hill,Big Ruin Beach Island 2,0
Sonic,Seaside Hill,Bonus Key 2,0
Sonic,Seaside Hill,Big Ruin Beach Island 2 Ruins With Springs,0
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon Speed,0
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon Flying,0
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon Power,0
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon Power Ruins,0
Sonic,Seaside Hill,Path Before Checkpoint 4,0
Sonic,Seaside Hill,Checkpoint 4,0
Sonic,Seaside Hill,Big Ruins 1,0
Sonic,Seaside Hill,Big Ruins 2,0
Sonic,Seaside Hill,Path After Big Ruins,0
Sonic,Seaside Hill,Cannon Room,0
Sonic,Seaside Hill,Bonus Key 3,0
Sonic,Seaside Hill,Cannon Room Speed,0
Sonic,Seaside Hill,Cannon Room Flying,0
Sonic,Seaside Hill,Cannon Room Power,0
Sonic,Seaside Hill,After Cannon Room Path,0
Sonic,Seaside Hill,Checkpoint 5,0
Sonic,Seaside Hill,Second Bobsled,0
Sonic,Seaside Hill,Path After Second Bobsled,0
Sonic,Seaside Hill,Big Loop,0
Sonic,Seaside Hill,Top of Whale Island,0
Sonic,Seaside Hill,Goal,0
