id,name,classification,groups,mod_name
0,Joja Cola,filler,TRASH,
15,Rusty Key,progression,,
16,Dwarvish Translation Guide,progression,,
17,Bridge Repair,progression,COMMUNITY_REWARD,
18,Greenhouse,progression,COMMUNITY_REWARD,
19,Glittering Boulder Removed,progression,COMMUNITY_REWARD,
20,Minecarts Repair,useful,COMMUNITY_REWARD,
21,Bus Repair,progression,COMMUNITY_REWARD,
22,Progressive Movie Theater,"progression,trap",COMMUNITY_REWARD,
23,Stardrop,progression,,
24,Progressive Backpack,progression,,
25,Rusty Sword,filler,"WEAPON,DEPRECATED",
26,Leather Boots,filler,"FOOTWEAR,DEPRECATED",
27,Work Boots,filler,"FOOTWEAR,DEPRECATED",
28,Wooden Blade,filler,"WEAPON,DEPRECATED",
29,Iron Dirk,filler,"WEAPON,DEPRECATED",
30,Wind Spire,filler,"WEAPON,DEPRECATED",
31,Femur,filler,"WEAPON,DEPRECATED",
32,Steel Smallsword,filler,"WEAPON,DEPRECATED",
33,Wood Club,filler,"WEAPON,DEPRECATED",
34,Elf Blade,filler,"WEAPON,DEPRECATED",
37,Slingshot,filler,"WEAPON,DEPRECATED",
38,Tundra Boots,filler,"FOOTWEAR,DEPRECATED",
39,Thermal Boots,filler,"FOOTWEAR,DEPRECATED",
40,Combat Boots,filler,"FOOTWEAR,DEPRECATED",
41,Silver Saber,filler,"WEAPON,DEPRECATED",
42,Pirate's Sword,filler,"WEAPON,DEPRECATED",
43,Crystal Dagger,filler,"WEAPON,DEPRECATED",
44,Cutlass,filler,"WEAPON,DEPRECATED",
45,Iron Edge,filler,"WEAPON,DEPRECATED",
46,Burglar's Shank,filler,"WEAPON,DEPRECATED",
47,Wood Mallet,filler,"WEAPON,DEPRECATED",
48,Master Slingshot,filler,"WEAPON,DEPRECATED",
49,Firewalker Boots,filler,"FOOTWEAR,DEPRECATED",
50,Dark Boots,filler,"FOOTWEAR,DEPRECATED",
51,Claymore,filler,"WEAPON,DEPRECATED",
52,Templar's Blade,filler,"WEAPON,DEPRECATED",
53,Kudgel,filler,"WEAPON,DEPRECATED",
54,Shadow Dagger,filler,"WEAPON,DEPRECATED",
55,Obsidian Edge,filler,"WEAPON,DEPRECATED",
56,Tempered Broadsword,filler,"WEAPON,DEPRECATED",
