name,default_amount,scaling_factor,classification,groups
Money,1000,500,useful,BASE_RESOURCE
Stone,50,25,filler,BASE_RESOURCE
Wood,50,25,filler,BASE_RESOURCE
Hardwood,10,5,useful,BASE_RESOURCE
Fiber,30,15,filler,BASE_RESOURCE
Coal,10,5,filler,BASE_RESOURCE
Clay,10,5,filler,BASE_RESOURCE
Warp Totem: Beach,5,2,filler,WARP_TOTEM
Warp Totem: Desert,5,2,filler,WARP_TOTEM
Warp Totem: Farm,5,2,filler,WARP_TOTEM
Warp Totem: Island,5,2,filler,WARP_TOTEM
Warp Totem: Mountains,5,2,filler,WARP_TOTEM
Geode,12,6,filler,GEODE
Frozen Geode,8,4,filler,GEODE
Magma Geode,6,3,filler,GEODE
Omni Geode,4,2,useful,GEODE
Copper Ore,75,25,filler,ORE
Iron Ore,50,25,filler,ORE
Gold Ore,25,13,useful,ORE
Iridium Ore,10,5,useful,ORE
Quartz,10,5,filler,ORE
Basic Fertilizer,30,10,filler,FERTILIZER
Basic Retaining Soil,30,10,filler,FERTILIZER
Speed-Gro,30,10,filler,FERTILIZER
Quality Fertilizer,20,8,filler,FERTILIZER
Quality Retaining Soil,20,8,filler,FERTILIZER
Deluxe Speed-Gro,20,8,filler,FERTILIZER
Deluxe Fertilizer,10,4,useful,FERTILIZER
Deluxe Retaining Soil,10,4,useful,FERTILIZER
Hyper Speed-Gro,10,4,useful,FERTILIZER
Tree Fertilizer,10,4,filler,FERTILIZER
Spring Seeds,30,10,filler,SEED
Summer Seeds,30,10,filler,SEED
Fall Seeds,30,10,filler,SEED
Winter Seeds,30,10,filler,SEED
Mahogany Seed,5,2,filler,SEED
Bait,30,10,filler,FISHING_RESOURCE
Crab Pot,3,1,filler,FISHING_RESOURCE
