"fullitemname","roomid","area","locids","plmtypeid","plmparamhi","plmparamlo","hiddenness","xy","plmtypename","state","roomname","alternateroomid","alternateroomlocids","alternateroomdifferenthiddenness","alternateplmparamlo"
"Benthic Cache","79b6a","0","3ffbe6","fcc0","0","b","chozo","[b,6]","SJBoost","df","Benthic Cache","","","",""
"Benthic Cache Access","78785","0","3ffc06","f0a0","0","a","chozo","[b,8]","DamageAmp","allstates","Benthic Cache Access","","","",""
"Eddy Channels","794dd","0","3ffea6","f908","5","6c","hidden","[5b,9]","AmmoTank","df","Eddy Channels","","","",""
"Impact Crater","7bb5b","0","3fff64,3fff9c,3fffda","f87e","0","0","chozo","[3e,38]","AccelCharge","allstates","Impact Crater","","","",""
"Impact Crater Alcove","7a0bf","0","3ffdf6","f904","5","3","chozo","[4,8]","AmmoTank","df","Impact Crater Alcove","","","",""
"Impact Crater Overlook","79441","0","3ffeae","efcf","0","6d","hidden","[4,4]","Reserve","df","Impact Crater Overlook","","","",""
"Ocean Shore: Bottom","7850f","0","3ffdc2,3ffdd6","f908","5","4","hidden","[5e,35]","AmmoTank","allstates","Ocean Shore","","","",""
"Ocean Shore: Top","7850f","0","3ffdc8,3ffddc","f908","5","5","hidden","[6c,4]","AmmoTank","allstates","Ocean Shore","","","",""
"Ocean Vent Supply Depot","79045","0","3ffb26","ef33","0","d","chozo","[6,8]","Super","df","Ocean Vent Supply Depot","","","",""
"Sandy Burrow: Bottom","7a182","0","3ffc54","f908","5","c6","hidden","[5,2a]","AmmoTank","df","Sandy Burrow","","","",""
"Sandy Burrow: Top","7a182","0","3ffc48","eed7","5","9","open","[16,15]","ETank","df","Sandy Burrow","","","",""
"Sandy Cache","78325","0","3ffd54","fd40","0","6","chozo","[3,b]","GravityBoots","df","Sandy Cache","","","",""
"Sandy Gully","78fb9","0","3ffa54","f904","5","10","chozo","[2a,5]","AmmoTank","allstates","Sandy Gully","","","",""
"Sediment Floor","78e5b","0","3ffafa","f904","5","e","chozo","[11,9]","AmmoTank","allstates","Sediment Floor","","","",""
"Sediment Flow","7a1d0","0","3ffa98","ef7f","0","f","hidden","[14,6]","ETank","df","Sediment Flow","","","",""
"Shrine Of The Penumbra","7ea2f","0","3ffc5c","fdb0","0","8","chozo","[16,a]","DarkVisor","df","Shrine Of The Penumbra","","","",""
"Submarine Alcove","7a356","0","3ffb92","f904","5","c","chozo","[a,8]","AmmoTank","df","Submarine Alcove","","","",""
"Submarine Nest","79fae","0","3ffce8","efcf","0","7","hidden","[6,23]","Reserve","df","Submarine Nest","","","",""
"Subterranean Burrow","7da9b","0","3fff12","ef23","0","2","open","[36,1a]","Morph","df","Subterranean Burrow","","","",""
"Tram To Suzi Island","7a023","0","3ffe0c","f908","5","6f","hidden","[c,c]","AmmoTank","df","Tram To Suzi Island","","","",""
"Archives: Back","7a26c","1","3ff5d2","fcc0","0","21","chozo","[5,7]","SJBoost","df","Archives","","","",""
"Archives: Front","7a26c","1","3ff5cc","ef57","0","20","chozo","[3c,8]","SpringBall","df","Archives","","","",""
"Arena","7bbc0","1","3ff608","ef3b","0","1d","chozo","[1d,19]","Bomb","2:df","Arena","",,"",""
"Auxiliary Pump Room","7937e","1","3ff600","f904","5","1e","chozo","[4,9]","AmmoTank","df","Auxiliary Pump Room","","","",""
"Causeway Overlook","79f39","1","3ff578","f908","5","24","hidden","[1,9]","AmmoTank","df","Causeway Overlook","","","",""
"Cistern","79b1c","1","3ff7ce","fcc0","0","15","chozo","[29,17]","SJBoost","df","Cistern","","","",""
"Crypt","792e2","1","3ff6e0","ef7b","0","1c","chozo","[1a,7]","Reserve","df","Crypt","","","",""
"Epiphreatic Crag","79f60","1","3ff22e","ef2b","0","2a","chozo","[2,1f]","ETank","df","Epiphreatic Crag","","","",""
"Eribium Apparatus Room","7985e","1","3ff4da","f0a0","0","25","chozo","[b,6]","DamageAmp","df","Eribium Apparatus Room","","","",""
"Grand Chasm","7bc25","1","3fef86,3fef94","f908","a","2c","hidden","[37,8]","AmmoTank","allstates","Grand Chasm","","","",""
"Grand Vault","7e47d","1","3ff86a","ef63","0","13","chozo","[5,4]","XRayScope","df","Grand Vault","","","",""
"Hall Of The Elders","79774","1","3ff7e8","f904","5","14","chozo","[d,1d]","AmmoTank","df","Hall Of The Elders","","","",""
"Harmonic Growth Enhancer","7996f","1","3ff90e","ef4f","0","11","chozo","[3,7]","Wave","df","Harmonic Growth Enhancer","","","",""
"Hot Spring","79579","1","3ff350","ef7b","0","27","chozo","[26,37]","Reserve","df","Hot Spring","","","",""
"Mezzanine Concourse","7a293","1","3ff0ca","eed7","0","2b","open","[46,48]","ETank","df","Mezzanine Concourse","","","",""
"Monitoring Station","7a1f7","1","3ff5f2","f900","5","1f","open","[2,8]","AmmoTank","df","Monitoring Station","","","",""
"Path Of Swords","79996","1","3ff73e","f908","5","1b","hidden","[0,18]","AmmoTank","df","Path Of Swords","","","",""
"Placid Pool","7a3cb","1","3ff29a","f900","5","29","open","[8,17]","AmmoTank","df","Placid Pool","","","",""
"Sensor Maintenance: Bottom","79cc9","1","3ff5c4","f904","5","23","chozo","[6,12]","AmmoTank","df","Sensor Maintenance","","","",""
"Sensor Maintenance: Top","79cc9","1","3ff5a6","ef2b","0","22","chozo","[e,7]","ETank","df","Sensor Maintenance","","","",""
"Trophobiotic Chamber","798d3","1","3ff74c","ef2b","a","1a","chozo","[21,45]","ETank","df","Trophobiotic Chamber","","","",""
"Upper Vulnar Power Node","78065","1","3ff8a4,3ff8b8","f87e","0","12","chozo","[1e,7]","AccelCharge","allstates","Upper Vulnar Power Node","","","",""
"Vulnar Caves Entrance","796d8","1","3ff760","eed7","0","19","open","[e,9]","ETank","df","Vulnar Caves Entrance","","","",""
"Warrior Shrine: Bottom","79948","1","3ff780","f904","5","16","chozo","[18,17]","AmmoTank","df","Warrior Shrine","","","",""
"Warrior Shrine: Top","79948","1","3ff786","f904","5","17","chozo","[6,8]","AmmoTank","df","Warrior Shrine","","","",""
"Warrior Shrine: Middle","79948","1","3ff78c","ef7f","0","18","hidden","[5,12]","ETank","df","Warrior Shrine","","","",""
"Waste Processing","79504","1","3ff318","f900","a","28","open","[37,8]","AmmoTank","df","Waste Processing","","","",""
"West Spore Field","78857","1","3ff3c4","eeeb","0","26","open","[17,47]","Charge","df","West Spore Field","7866d","3ff9c2","",""
"Ancient Basin","7cb62","2","3fe6f4","f900","5","40","open","[9,9]","AmmoTank","df","Ancient Basin","","","",""
"Ancient Shaft","7ed75","2","3fe71c,3fe736","fcc0","0","3e","chozo","[7,4a]","SJBoost","allstates","Ancient Shaft","","","",""
"Blazing Chasm","7968a","2","3fef3e","f900","5","2d","open","[9,2a]","AmmoTank","df","Blazing Chasm","","","",""
